Benchmark,Preprocessor,Solver,Timeout,Command,Ingest Duration (ns),Preprocess Duration (ns),SAT Solver Duration (ns),Theory Solver Duration (ns),Graph Overhead Duration (ns),Learn Overhead Duration (ns),Solver Calls,Theory Solver Loops,,,,,,,
bench/queens_bench/toroidal_bench/toroidal_queen100-1.smt2,tie-quad,tarjan,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='tarjan' --stats --csv --timeout='10m' bench/queens_bench/toroidal_bench/toroidal_queen100-1.smt2,1939371177,89286031,302924988227,19524831997,220636051376,56877832989,"20,186","87,553,462",,1.939,0.089,302.925,19.525,220.636,56.878
,,,,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='nil' --solver='tarjan' --stats --csv --timeout='10m' bench/diamonds/diamonds.18.10.i.a.u.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-lin' --solver='tarjan' --stats --csv --timeout='10m' bench/diamonds/diamonds.18.10.i.a.u.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-quad' --solver='tarjan' --stats --csv --timeout='10m' bench/diamonds/diamonds.18.10.i.a.u.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-lin' --solver='tarjan' --stats --csv --timeout='10m' bench/diamonds/diamonds.18.10.i.a.u.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-basic' --stats --csv --timeout='10m' bench/diamonds/diamonds.18.10.i.a.u.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-full' --stats --csv --timeout='10m' bench/diamonds/diamonds.18.10.i.a.u.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-basic' --stats --csv --timeout='10m' bench/diamonds/diamonds.18.10.i.a.u.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-full' --stats --csv --timeout='10m' bench/diamonds/diamonds.18.10.i.a.u.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='tarjan' --stats --csv --timeout='10m' bench/diamonds/diamonds.18.10.i.a.u.smt2,,,,,,,,,,,,,,,
bench/diamonds/diamonds.18.10.i.a.u.smt2,nil,tarjan,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='nil' --solver='tarjan' --stats --csv --timeout='10m' bench/diamonds/diamonds.18.10.i.a.u.smt2,15743858,180,418489701897,114631606508,47621525554,3761778950,"262,145","423,756,426",,0.016,0.000,418.490,114.632,47.622,3.762
bench/diamonds/diamonds.18.10.i.a.u.smt2,t-lin,tarjan,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-lin' --solver='tarjan' --stats --csv --timeout='10m' bench/diamonds/diamonds.18.10.i.a.u.smt2,12458340,14772,420419126476,112858372405,47439715911,3830355450,"262,145","422,417,173",,0.012,0.000,420.419,112.858,47.440,3.830
bench/diamonds/diamonds.18.10.i.a.u.smt2,t-quad,tarjan,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-quad' --solver='tarjan' --stats --csv --timeout='10m' bench/diamonds/diamonds.18.10.i.a.u.smt2,14752650,14850,386029250460,111672535700,46463870782,3715664628,"262,145","423,780,495",,0.015,0.000,386.029,111.673,46.464,3.716
bench/diamonds/diamonds.18.10.i.a.u.smt2,tie-lin,tarjan,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-lin' --solver='tarjan' --stats --csv --timeout='10m' bench/diamonds/diamonds.18.10.i.a.u.smt2,12624867,43207,420630070349,112552216744,46723723466,3777917670,"262,145","422,617,029",,0.013,0.000,420.630,112.552,46.724,3.778
bench/diamonds/diamonds.18.10.i.a.u.smt2,tie-quad,bf-basic,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-basic' --stats --csv --timeout='10m' bench/diamonds/diamonds.18.10.i.a.u.smt2,13472502,42533,4145365920,590304348699,5077171132,452055193,"23,763","3,579,442,156",,0.013,0.000,4.145,590.304,5.077,0.452
bench/diamonds/diamonds.18.10.i.a.u.smt2,tie-quad,bf-full,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-full' --stats --csv --timeout='10m' bench/diamonds/diamonds.18.10.i.a.u.smt2,15101141,48247,4306050461,590072223736,5175259069,432929144,"24,153","3,638,232,404",,0.015,0.000,4.306,590.072,5.175,0.433
bench/diamonds/diamonds.18.10.i.a.u.smt2,tie-quad,spfa-basic,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-basic' --stats --csv --timeout='10m' bench/diamonds/diamonds.18.10.i.a.u.smt2,12152687,42448,4229816218,589961168950,5367141163,408903130,"28,034","3,166,118,091",,0.012,0.000,4.230,589.961,5.367,0.409
bench/diamonds/diamonds.18.10.i.a.u.smt2,tie-quad,spfa-full,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-full' --stats --csv --timeout='10m' bench/diamonds/diamonds.18.10.i.a.u.smt2,13570943,43655,415268570464,63802920089,43938738133,3414828067,"262,145","959,796,850",,0.014,0.000,415.269,63.803,43.939,3.415
